"filename", "language", "XML", "Log", "Markdown", "C++", "JSON", "Batch", "PowerShell", "comment", "blank", "total"
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\res\model2\marine\convert.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 36, 0, 11, 47
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\resource.h", "C++", 0, 0, 0, 47, 0, 0, 0, 6, 2, 55
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\simple-directx9.vcxproj", "XML", 259, 0, 0, 0, 0, 0, 0, 0, 1, 260
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\x64\Debug\res\model2\marine\convert.bat", "Batch", 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\x64\Debug\res\model2\marine\convert.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 36, 0, 11, 47
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\x64\Debug\simple-directx9.log", "Log", 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\MultiPassRendering\x64\Release\simple-directx9.log", "Log", 0, 15, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\packages\Microsoft.DXSDK.D3DX.9.29.952.8\NOTICE.md", "Markdown", 0, 0, 76, 0, 0, 0, 0, 0, 56, 132
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\packages\Microsoft.DXSDK.D3DX.9.29.952.8\README.md", "Markdown", 0, 0, 58, 0, 0, 0, 0, 0, 35, 93
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\packages\Microsoft.DXSDK.D3DX.9.29.952.8\build\native\Microsoft.DXSDK.D3DX.targets", "XML", 39, 0, 0, 0, 0, 0, 0, 0, 8, 47
"c:\Users\bibindon\source\repos\bibindon\RedFortress\RedFortress2\packages\Microsoft.DXSDK.D3DX.9.29.952.8\build\native\include\D3DX10.h", "C++", 0, 0, 0, 51, 0, 0, 0, 11, 18, 80
